ID,Plant,Height,Width 1,Width 2,Stem Diameter,Pot Size,Date Planted,Notes
1,ENCA (Pink),46.1,15.84,9.47,0.37,,1/17/20,
2,CEOL (Orange),25.6,7.8,7.68,0.28,,1/17/20,
3,ENCA (Pink),23,27,8.4,0.4,,1/17/20,
4,ENCA (Pink),15,35.5,15,0.33,,1/17/20,
5,CEOL (Orange),5.6,5.6,4,0.19,,3/27/20,replant and moved
6,HEWH (White),17,33,28,,,1/17/20,
7,SAME (Orange + Pink),20.2,5.9,5.3,0.31,,2/20,
8,SANI (Orange + Yellow),9.5,19.5,21.25,0.5,,2/13/20,
9,SANI (Orange + Yellow),21.5,9.5,9.25,0.24,,2/13/20,
10,RHOV (White + Pink),9.5,6.5,5,0.26,,1/17/20,
11,SANI (Orange + Yellow),14.7,25.8,25.3,0.35,,2/13/20,
12,CEOL (Orange),15,15.5,5,0.26,,1/17/20,
13,HEWH (White),23,40,19.5,,,1/17/20,
14,HEWH (White),17,33.5,21,,,1/17/20,
15,CEOL (Orange),27,8,8.5,0.28,,1/17/20,
16,SANI (Orange + Yellow),9.8,17,11.8,0.33,,2/13/20,
17,SAAP (White + Green),12.9,17.3,12.1,0.31,,2/13/20,
18,SAME (Orange + Pink),10.3,8.1,7.6,0.41,,2/20/20,
19,ENCA (Pink),29.5,23,11.5,0.4,,1/17/20,"""this guy is hype"""
20,MALA (White + Yellow),32.8,16.4,14.4,0.47,,2/13/20,
21,SAAP (White + Green),19.4,14,12.8,0.35,,2/13/20,
22,CEOL (Orange),25,10,10,0.26,,1/17/20,
23,ENCA (Pink),33,10,8.5,0.29,,1/17/20,
24,HEWH (White),16,52,16,,,1/17/20,
25,CEOL (Orange),29.5,7,5,0.27,,1/17/20,
26,ENCA (Pink),51.1,1,10.8,0.4,,3/19/20,replant
27,SAME (Orange + Pink),20.25,7.25,5,0.35,,2/20/20,
28,SAME (Orange + Pink),8.5,4,4,0.26,,2/20/20,
29,SANI (Orange + Yellow),9,16.25,8.5,0.3,,2/14/20,
30,SAME (Orange + Pink),20.25,8.5,7.25,0.5,,2/20/20,
31,CEOL (Orange),37.6,10.1,11.7,0.0836,,1/25/20,
32,SANI (Orange + Yellow),31.5,13.25,11,0.33,,2/13/20,
33,MALA (White + Yellow),45,20.75,7.75,0.31,,2/13/20,
34,ADFA (Orange + Green),50.5,65.7,62.1,0.82,1 GAL ,1/21/20,
35,ADFA (Orange + Green),30.8,47.5,41.2,0.62,1 GAL ,1/21/20,
36,SAME (Orange + Pink),,,,,,,already planted
37,MALA (White + Yellow),42.25,17.25,16,0.5,,2/13/20,
38,HEWH (White),18.4,31,14,,,1/18/20,
39,CEOL (Orange),8.6,11.1,5.7,0.2,,3/27/20,replant
40,CEOL (Orange),25.5,14.2,10.6,0.054,,1/25/20,
41,CEOL (Orange),31,9.8,12,0.0538,,1/25/20,
42,HEWH (White),30,15,10,NA,,1/18/20,
43,ENCA (Pink),39,16,12,0.3,,1/18/20,
44,ENCA (Pink),22,27,22,0.4,,1/18/20,
45,ENCA (Pink),33,17,12,0.25,,1/18/20,
46,HEWH (White),18,27,0.5,0.48,,1/18/20,
47,SAME (Orange + Pink),14.25,6.5,5.25,0.27,,2/20/20,
48,RHOV (White + Pink),13,9,8,0.5,,1/18/20,
49,HEWH (White),15,32.5,24,,,1/18/20,
50,RHOV (White + Pink),12,9,7,0.5,,1/18/20,
51,SAAP (White + Green),24.75,19.25,10.75,0.37,,2/13/20,
52,HEWH (White),18.8,25,1.5,,,1/18/20,
53,ADFA (Orange + Green),52.5,59,62,0.67,1 GAL ,1/21/20,
54,CEOL (Orange),31.4,9.2,10.3,0.311,,1/25/20,
55,HEWH (White),18.6,39.3,31.2,,,1/18/20,
56,HEWH (White),27.5,30.5,22.2,,,1/18/20,
57,ENCA (Pink),33.4,7,6,0.41,,1/18/20,
58,CEOL (Orange),18.7,10.3,9.3,0.261,,1/25/20,
59,MALA (White + Yellow),40,14.75,14.5,0.59,,2/13/20,
60,SAAP (White + Green),19.75,13.25,14,0.34,,2/13/20,
61,ENCA (Pink),41,10,9,0.28,,1/18/20,
62,HEWH (White),16,38,28,NA,,1/18/20,
63,HEWH (White),28,31,31,NA,,1/18/20,
64,SANI (Orange + Yellow),8,13.75,9,0.31,,2/13/20,
65,CEOL (Orange),31.3,9.5,8.8,0.0535,,1/25/20,
66,ENCA (Pink),52.4,25.6,13.3,0.45,,3/19/20,replant
67,CEOL (Orange),40.2,7.5,7.3,0.014,,1/25/20,
68,HEWH (White),19,27,27,NA,,1/18/20,
69,HEWH (White),20,42,27,NA,,1/18/20,
70,HEWH (White),18,23,10,NA,,1/18/20,
71,SAME (Orange + Pink),12.25,5.75,5.5,0.5,,2/20,
72,MALA (White + Yellow),30,17.75,18.75,0.47,,2/14/20,
73,CEOL (Orange),23.2,14.5,12.4,0.1073,,1/25/20,
74,HEWH (White),20.6,34,22.6,      -------------,,1/21/20,
75,RHOV (White + Pink),13.2,9.4,6.8,0.59,,1/21/20,
76,HEWH (White),22.4,34.5,11.7,,,1/18/20,
77,RHOV (White + Pink),19,12,8.8,0.54,,1/18/20,
78,ENCA (Pink),29.8,9,8.5,0.35,,1/18/20,
79,SAAP (White + Green),18.5,16.75,11,0.54,,2/13,
80,MALA (White + Yellow),36.5,14.25,13.75,0.38,,2/13,
81,SAAP (White + Green),19,16.5,15,0.4,,2/13/20,
82,CEOL (Orange),19,14.5,5.25,0.32,,2/20/20,
83,SAAP (White + Green),27.5,15.75,15.5,0.45,,2/13/20,
84,RHOV (White + Pink),10.4,7.2,7.5,0.33,,1/21/20,
85,CEOL (Orange),19.5,11.5,6.7,0.228,,1/25/20,
86,CEOL (Orange),23.75,8,7.5,0.39,,2/20/20,
87,ENCA (Pink),19.1,6.8,8.6,0.27,,1/21/20,
88,SAAP (White + Green),25.75,16,12.5,0.47,,2/14/20,
89,ENCA (Pink),35.4,17,13.7,0.27,,1/21/20,
90,ADFA (Orange + Green),41.8,45.4,41.8,0.63,1 GAL ,1/21/20,
91,RHOV (White + Pink),11.3,6.1,4.4,0.27,,1/21/20,
92,ENCA (Pink),18,14,7.5,0.2,,1/18/20,
93,HEWH (White),17,19.8,18,,,1/18/20,
94,SAME (Orange + Pink),14.5,8.75,7,0.41,,2/20,
95,HEWH (White),14.9,38.4,18,,,1/21/20,
96,SANI (Orange + Yellow),25.25,9,9,0.26,,2/13,
97,SAAP (White + Green),19.25,14.25,12.25,0.65,,2/13,
98,SANI (Orange + Yellow),11,18.75,18.5,0.38,,2/13,
99,CEOL (Orange),22.1,11.9,6.7,0.27,,1/25/20,
100,SAAP (White + Green),25.75,13.75,13.75,0.53,,2/14,
101,ENCA (Pink),18,28.9,20.2,0.29,,1/17/20,
102,SAME (Orange + Pink),8.5,10.9,7.8,0.23,,2/20/20,
103,ENCA (Pink),23.6,19.5,9.7,0.27,,1/17/20,
104,ADFA (Orange + Green),58.7,54,37.6,0.83,1 GAL ,1/17/20,
105,MALA (White + Yellow),36.4,14.7,12.4,0.34,,2/13/20,
106,RHOV (White + Pink),10.29,9.19,5.03,0.57,,1/17/20,
107,MALA (White + Yellow),33.8,12.1,10.9,0.34,,2/13/20,
108,ENCA (Pink),17.6,19.2,11.8,0.3,,1/17/20,
109,RHOV (White + Pink),12.88,10.72,5.15,0.49,,1/17/20,
110,RHOV (White + Pink),11.5,8,5.5,0.39,,1/17/20,
111,SAAP (White + Green),19.3,18.1,14.7,0.48,,2/13/20,
112,HEWH (White),29.5,11.5,10.5,,,1/17/20,
113,ADFA (Orange + Green),38.5,67,46,0.62,1 GAL ,1/17/20,
114,CEOL (Orange),16.203,10.85,9.592,0.43,,1/17/20,
115,CEOL (Orange),30,7,6.5,0.32,,1/17/20,
116,ENCA (Pink),29.5,6.5,6.5,0.35,,1/17/20,
117,SAME (Orange + Pink),15.3,7.4,6.3,0.34,,2/20/20,
118,SAAP (White + Green),25.2,15.9,14.6,0.48,,2/13/20,
119,HEWH (White),15.5,40,18.4,,,1/17/20,
120,ENCA (Pink),22,14,12,0.41,,1/17/20,
121,SAME (Orange + Pink),8.3,9.7,7.4,0.28,,2/20/20,
122,CEOL (Orange),30.6,12.7,9.8,0.28,,2/13/20,
123,SAME (Orange + Pink),10.8,7.1,6.7,0.29,,2/20/20,
124,RHOV (White + Pink),9.5,6,6.5,0.35,,1/17/20,
125,CEOL (Orange),27.5,13,9.5,0.3,,1/17/20,
126,SANI (Orange + Yellow),9.1,16.4,12.4,0.32,,2/13/20,
127,CEOL (Orange),14.88,8.385,6.977,0.233,,1/17/20,
128,ENCA (Pink),27.5,7.5,5.5,0.32,,1/17/20,
129,ENCA (Pink),49,12,7,0.41,,1/17/20,
130,RHOV (White + Pink),14.6,9.8,14.4,0.63,,1/18/20,
131,MALA (White + Yellow),34.6,23.6,10.2,0.4,,2/13/20,
132,RHOV (White + Pink),8.5,6,4.5,0.32,,1/17/20,
133,HEWH (White),28.5,39,13,,,1/17/20,
134,ENCA (Pink),31,7.5,7,0.38,,1/17/20,rocky plot 
135,SAAP (White + Green),25.2,18.9,15.5,0.37,,2/13,
136,ENCA (Pink),43.2,15,10.5,0.66,,1/18/20,
137,SAAP (White + Green),22.2,13.4,12.1,0.36,,2/13,
138,ADFA (Orange + Green),72,42,34,0.673,1 GAL ,1/21/20,
139,ADFA (Orange + Green),51,74,37,0.585,1 GAL ,1/21/20,
140,SANI (Orange + Yellow),14.6,28.5,24.3,0.4,,2/14,
141,HEWH (White),23.5,34,12,,,1/21/20,
142,RHOV (White + Pink),16,7.2,7.8,0.46,,1/21/20,
143,ENCA (Pink),25.6,6.8,5.4,0.373,,1/18/20,
144,HEWH (White),28.9,39.6,16.5,,,1/18/20,
145,CEOL (Orange),21.5,7.8,6.7,0.3,,2/14,
146,CEOL (Orange),15.9,9.7,8.3,0.22,,2/27,
147,RHOV (White + Pink),9.7,7,4,0.4,,1/18/20,
148,MALA (White + Yellow),22.4,12,10.2,0.37,,2/13,
149,ENCA (Pink),33.2,7.1,9.6,0.38,,1/18/20,
150,MALA (White + Yellow),33.5,16.4,10.8,0.37,,2/13,
151,ENCA (Pink),32.5,7,7.5,0.36,,1/18/20,
152,CEOL (Orange),25.8,8.2,6.1,0.767,,1/25/20,
153,ENCA (Pink),25,7.8,10.2,0.35,,1/18/20,
154,SANI (Orange + Yellow),11.1,18.8,9.7,0.5,,2/14,
155,SAAP (White + Green),18.2,13.7,13.2,0.6,,2/14,
156,HEAR,21.4,19.9,18.9,0.48,,2/27,
157,CEOL (Orange),7,7.5,6.2,0.2,,3/27,replant and moved
158,SAAP (White + Green),15.9,13.4,11.1,0.6,,2/14,
159,ENCA (Pink),25.2,17.2,16.8,0.35,,3/19/20,replant
160,HEWH (White),35.9,56.7,33,-,,2/20,
161,MALA (White + Yellow),44,18.1,15.9,0.51,,2/13,
162,HEWH (White),11,55.2,8.5,,,1/18/20,
163,ADFA (Orange + Green),70,60.5,50.2,0.732,1 GAL ,1/21/20,
164,HEWH (White),20.1,57.4,31.8,,,1/18/20,
165,SANI (Orange + Yellow),16.2,24.2,18.4,0.77,,2/13,
166,SAME (Orange + Pink),12.8,7.8,6.3,0.24,,2/20,
167,HEWH (White),29,41.5,36.9,,,1/18/20,
168,RHOV (White + Pink),13.5,8.57,6.42,0.477,,1/18/20,
169,HEWH (White),25.5,27,17.3,,,1/21/20,
170,SANI (Orange + Yellow),,,,,,,already planted (ceol)
171,RHOV (White + Pink),11.7,9.8,7.1,0.44,,3/27/20,replant
172,HEWH (White),13.8,34.9,4.3,0.67,,1/25/20,
173,SAME (Orange + Pink),11.1,6.2,4.9,0.29,,2/20,
174,ADFA (Orange + Green),58.3,39.8,32.1,1.4,2 GAL,2/4/20,
175,HEWH (White),15.3,23.8,3.4,0.55,,1/25/20,
176,HEWH (White),16.5,22.2,0.4,0.6,,1/25/20,
177,HEWH (White),24,39,11,,,1/21/20,
178,CEOL (Orange),29.7,8.6,7.8,0.34,,1/25/20,
179,SANI (Orange + Yellow),13.1,10.9,10.6,0.6,,2/13,
180,RHOV (White + Pink),8.3,8.1,7.7,0.31,,1/18/20,
181,HEWH (White),14.3,43.1,41.1,0.711,,1/25/20,
182,HEWH (White),16.7,22.1,7.8,1.814,,1/25/20,
183,ADFA (Orange + Green),46.1,40.5,22.4,1.39,2 GAL,2/4/20,
184,RHOV (White + Pink),14.1,10.5,3.4,0.43,,1/18/20,
185,ENCA (Pink),28.5,6,5,0.205,,1/21/20,
186,HEWH (White),17,28,7.5,,,1/21/20,
187,HEWH (White),16,36,20,,,1/21/20,
188,HEWH (White),28.6,28.7,6.4,,,1/30/20,
189,CEOL (Orange),17.2,7.4,4.8,0.22,,3/27/20,replant
190,CEOL (Orange),31.6,12.9,9.6,0.28,,2/5/20,
191,ADFA (Orange + Green),56.2,64.3,46.2,0.59,1 GAL,1/30/20,
192,SANI (Orange + Yellow),7.2,10,6.3,0.2,,2/13,
193,ENCA (Pink),21.8,16.4,6.9,0.33,,1/30/20,
194,SANI (Orange + Yellow),11.6,14.9,10.6,0.643,,2/13,
195,HEWH (White),15.9,44.5,2.3,2.179,,1/25/20,
196,HEWH (White),14.1,34.5,4.8,0.7779,,1/25/20,
197,HEWH (White),12,30,4,,,1/30/20,
198,ENCA (Pink),24.3,20.6,14.2,0.39,,1/30/20,
199,HEWH (White),12.5,13.9,11.3,,,1/21/20,
200,HEWH (White),13.6,32.5,2.3,0.157,,1/25/20,
201,SAAP (White + Green),23,15.25,14.25,0.5,,2/14,
202,ENCA (Pink),17.5,24,15,0.26,,1/21/20,
203,ADFA (Orange + Green),51.5,64,40.8,0.67,1 GAL ,1/21/20,
204,HEWH (White),20.4,47.8,14.2,,,1/21/20,
205,CEOL (Orange),32.7,11.3,9.8,0.298,,1/25/20,
206,SAAP (White + Green),11.9,6,5.75,0.22,,2/20,
207,ENCA (Pink),33.8,44.5,17.5,0.42,,1/21/20,
208,SAAP (White + Green),18.5,15.75,13.5,0.51,,2/14,
209,HEWH (White),20.3,19.5,16.7,,,1/21/20,
210,ADFA (Orange + Green),48.2,39,26,0.7,1 GAL ,1/21/20,
211,HEWH (White),9.5,26.8,18,,,1/21/20,
212,CEOL (Orange),33.7,9.8,6.2,0.33,,1/25/20,
213,SANI (Orange + Yellow),10.25,13.25,12,0.37,,2/14,
214,RHOV (White + Pink),8.5,5.5,5,0.218,,1/21/20,
215,CEOL (Orange),21.5,7.8,7.8,0.25,,1/25/20,
216,RHOV (White + Pink),11.8,8,7.5,0.42,,1/21/20,
217,CEOL (Orange),32.2,5.9,7.7,0.123,,1/25/20,
218,HEWH (White),15.4,39,22,,,1/21/20,
219,RHOV (White + Pink),13.1,8.4,9.2,0.4,,3/27/20,replant and moved
220,ENCA (Pink),12.9,4.7,3.5,0.37,,1/25/20,
221,RHOV (White + Pink),11.1,9,7.2,0.408,,1/21/20,
222,SAAP (White + Green),14,11.75,11,0.32,,2/20,
223,SAME (Orange + Pink),12,10.5,7.5,0.29,,2/20,
224,CEOL (Orange),28.7,6.6,6.4,0.25,,1/25/20,
225,HEWH (White),18,45.5,5,,,1/21/20,
226,ENCA (Pink),6.25,7,4.75,0.29,,2/20,
227,SAAP (White + Green),15,6.75,4.75,0.39,,2/20,
228,CEOL (Orange),18.4,6.5,5.4,0.26,,1/25/20,
229,SAME (Orange + Pink),7.5,5,4.25,0.21,,2/20,
230,ADFA (Orange + Green),28.6,47.2,41.6,0.73,1 GAL ,2/3/20,
231,SAME (Orange + Pink),16.25,4.75,4.5,0.21,,2/25,
232,RHOV (White + Pink),15.5,8.6,7.4,0.37,,3/27/20,replant
233,HEAR,21.7,17.5,17.4,0.55,,2/27,
234,MALA (White + Yellow),43.2,16.2,16.3,0.4,,2/3/20,
235,SAME (Orange + Pink),7,4,3.75,0.2,,2/20,
236,HEWH (White),13.6,26,7.8,,,1/21/20,
237,CEOL (Orange),30.6,6.3,7.8,0.34,,1/25/20,
238,MALA (White + Yellow),34.2,13.2,14.4,0.36,,2/3/20,
239,HEWH (White),8,20.3,4.5,,,1/21/20,
240,ENCA (Pink),29,20,7.2,0.241,,1/21/20,
241,RHOV (White + Pink),14,9.2,8,0.494,,1/21/20,
242,RHOV (White + Pink),11.07,9.2,8.3,0.445,,1/25/20,
243,RHOV (White + Pink),9.9,7.6,7.6,0.392,,1/25/20,
244,RHOV (White + Pink),12.8,6.2,7.4,0.372,,1/25/20,
245,CEOL (Orange),26.25,8.5,8.25,0.51,,2/14,
246,HEWH (White),19.6,26.4,14.8,,,1/21/20,
247,CEOL (Orange),17.1,9.7,10.2,0.21,,2/6/20,
248,SAME (Orange + Pink),12.75,6.75,5.75,0.4,,2/20,
249,MALA (White + Yellow),37,14.75,10.5,0.45,,2/21,
250,ENCA (Pink),27.2,13.8,15.2,0.307,,1/25/20,
251,ENCA (Pink),27,11.5,7.5,0.32,,2/6/20,
252,CEOL (Orange),26.5,10.5,9.5,0.41,,2/6/20,
253,RHOV (White + Pink),8.012,6.494,5.838,0.391,,1/30/20,
254,SAME (Orange + Pink),7,4.25,3,0.31,,2/20,
255,HEWH (White),18,48,9.25,1.22,,2/20,
256,SANI (Orange + Yellow),11.25,4.25,4,0.24,,2/20,
257,ADFA (Orange + Green),47.8,58.4,39.2,0.62,1 GAL ,2/3/20,
258,ENCA (Pink),43,18.2,8.5,0.37,,2/6/20,
259,HEWH (White),17.25,35,24,1.3,,2/20,
260,ADFA (Orange + Green),55.6,74.3,45,0.75,1 GAL ,2/3/20,
261,CEOL (Orange),15.4,11.5,10.1,0.28,,2/6/20,
262,HEWH (White),22,51.25,42,1.4,,2/20,
263,SAME (Orange + Pink),9.6,6,5.75,0.22,,2/20,
264,CEOL (Orange),15.9,11.5,8.3,0.19,,2/6/20,
265,ENCA (Pink),26.1,11.6,8.6,0.308,,1/25/20,
266,HEWH (White),21.5,30,15,,,1/30/20,
267,SAAP (White + Green),9,9.5,6.5,0.32,,2/20,
268,CEOL (Orange),27,11,9.75,0.29,,2/14,
269,HEWH (White),31.75,28.75,4.25,1.17,,2/20,
270,HEWH (White),25,59.5,33,1.44,,2/20,
271,CEOL (Orange),29.5,11.5,11,0.22,,2/14,
272,RHOV (White + Pink),10.874,7.111,6.587,0.401,,1/30/20,
273,SAAP (White + Green),25.2,15.2,13.4,0.69,,2/13,
274,SAAP (White + Green),21.4,17.2,12.3,0.43,,2/13,
275,ENCA (Pink),14,27.5,12,0.283,,1/30/20,planted near an ant colony. They bite.
276,CEOL (Orange),23.4,13.5,9.8,0.15,,2/14,
277,ENCA (Pink),15.5,28,6.882,0.343,,1/30/20,
278,ENCA (Pink),16.5,20,19,0.282,,1/30/20,top 11cm bent 
279,SANI (Orange + Yellow),13.1,14.1,13.3,0.3,,2/14,
280,RHOV (White + Pink),11.9,8.7,7.4,0.56,,3/27/20,replant and moved plot up
281,SANI (Orange + Yellow),16.9,26.2,20,0.3,,2/14,
282,HEWH (White),27,42,30.5,,,1/30/20,
283,SAAP (White + Green),24.5,14.9,14.4,0.67,,2/13,
284,SANI (Orange + Yellow),17,24.6,24.4,0.28,,2/14,
285,ENCA (Pink),49.5,15.6,14.3,0.42,,2/27,
286,HEWH (White),16.5,40,7,,,1/30/20,
287,MALA (White + Yellow),25.6,18.3,16.9,0.18,,2/14,
288,CEOL (Orange),16,10.75,7.75,0.14,,2/14,
289,RHOV (White + Pink),13,3.5,8,0.43,,2/6/20,
290,CEOL (Orange),19.75,7.7,7.75,0.27,,2/14,
291,SAME (Orange + Pink),16.8,4.7,3.6,0.24,,2/27,
292,RHOV (White + Pink),17,10.3,7.8,0.49,,2/27,
293,SAME (Orange + Pink),15.4,9.4,8.9,0.22,,2/27,
294,SAAP (White + Green),18.3,15.3,12.5,0.52,,2/13,
295,ENCA (Pink),35.7,31.2,25.2,0.39,,2/27,
296,HEWH (White),14.3,19,13.8,,,1/30/20,
297,MALA (White + Yellow),45.9,18.4,14.7,0.6,,2/14,
298,SAME (Orange + Pink),18.3,8.4,4.9,0.3,,2/27,
299,RHOV (White + Pink),13.7,9.8,6.7,0.3,,2/14,
300,SAAP (White + Green),25.1,16.6,16.4,0.28,,2/14,
301,HEWH (White),21.2,32.7,25.2,,,1/30/20,
302,SANI (Orange + Yellow),11.6,22.2,10.5,0.7,,2/13,
303,ENCA (Pink),33,10,5.2,0.319,,1/30/20,
304,ENCA (Pink),28.2,27.6,12.7,0.28,,1/30/20,
305,SAAP (White + Green),25.5,16.5,15.1,0.5,,2/13,
306,HEWH (White),36.8,41,8.9,,,1/30/20,
307,ENCA (Pink),45.6,15.1,11.7,0.39,,3/19/20,replant
308,SAAP (White + Green),23.6,19,14.9,0.4,,2/13,
309,CEOL (Orange),21.4,10.4,8.9,0.19,,2/5/20,
310,CEOL (Orange),32.8,8.4,7.8,0.29,,2/14,
311,ENCA (Pink),19.2,10.7,7.9,0.31,,3/27/20,replant
312,CEOL (Orange),28.4,24.2,23.9,,,2/5/20,
313,CEOL (Orange),20,9.6,9.8,0.17,,2/5/20,
314,SANI (Orange + Yellow),15.1,25.7,16.7,0.35,,2/13/20,
315,RHOV (White + Pink),9.084,8.8,6.404,0.39,,1/30/20,
316,HEWH (White),14.8,38,11,,,1/30/20,
317,SANI (Orange + Yellow),13.1,14.7,13.7,0.45,,2/13/20,
318,SAME (Orange + Pink),7.3,3.4,3.3,0.18,,2/20,
319,ENCA (Pink),41.8,12.9,9.7,0.38,,1/25/20,
320,ADFA (Orange + Green),56.1,28.3,40.6,1.21,2 GAL,2/4/20,
321,HEWH (White),30.7,32.7,14.1,,,1/30/20,
322,ADFA (Orange + Green),42.2,39.4,35.9,0.76,1 GAL ,1/30/20,
323,HEWH (White),27.1,26,16,,,1/30/20,
324,CEOL (Orange),24.5,8.5,7,0.24,,2/14,
325,HEWH (White),18.2,6.8,30,0.95,,1/25/20,
326,ADFA (Orange + Green),65,59.8,35.8,1.3,2 GAL,2/20,
327,ENCA (Pink),32.5,13.28,9.182,0.345,,1/30/20,
328,RHOV (White + Pink),16.6,10.4,10,0.5,,3/27/20,replant
329,ENCA (Pink),22.7,34.2,13.6,0.36,,1/30/20,
330,ENCA (Pink),17.4,26.1,6,0.44,,1/30/20,
331,CEOL (Orange),31.2,15.7,11.3,0.24,,2/14,
332,RHOV (White + Pink),14.4,18.4,5.5,0.71,,1/30/20,
333,CEOL (Orange),24.9,11.8,10.5,0.3,,2/13,
334,CEOL (Orange),31.1,14.5,7.8,0.32,,2/14,
335,SAAP (White + Green),24.5,17.4,16.1,0.5,,2/13,
336,ENCA (Pink),43.9,34,10.5,0.44,,2/27,
337,ENCA (Pink),47.2,14.1,13.8,0.4,,2/27,
338,CEOL (Orange),17.6,21.2,11.1,0.3,,2/13,
339,ENCA (Pink),36.7,6.5,2.9,0.31,,2/1/20,
340,ADFA (Orange + Green),27.6,79.6,30.1,0.85,1 GAL ,1/30/20,
341,SAAP (White + Green),21.3,16.6,15.2,0.6,,2/13,
342,ENCA (Pink),28.4,19.6,10.6,0.65,,1/30/20,
343,SAAP (White + Green),22.8,24,16.9,0.7,,2/13,
344,CEOL (Orange),23.1,18.8,15.4,0.4,,2/13,
345,ADFA (Orange + Green),67,17.4,7.4,0.6,1 GAL ,2/1/20,
346,SAAP (White + Green),28.5,18.3,15.7,0.4,,2/13,
347,SANI (Orange + Yellow),10,14.4,14.8,0.5,,2/13,
348,ADFA (Orange + Green),63,57,47,0.84,2 GAL,2/4/20,
349,SANI (Orange + Yellow),9.5,14.4,9.8,0.4,,2/13,
350,SAME (Orange + Pink),6.1,5.6,4.9,0.3,,2/20,
351,ADFA (Orange + Green),60.5,24,35,1.65,2 GAL,2/4/20,
352,ENCA (Pink),39.25,13.3,11.5,0.51,,3/19/20,replant and moved b/c gopher
353,ENCA (Pink),18.6,15.3,13.4,0.25,,2/1/20,
