ID,Plant,Height,Width 1,Width 2,Stem Diameter,Pot Size,Date Planted,Notes
1416,HEAR,9.5,10.1,7.4,0.35,,3/4,
1417,HEAR,11.6,10.3,9.2,0.32,,3/4,
1418,ADFA (Orange + Green),60.3,56.8,29.6,1.24,2 GAL,2/21/20,
1419,SAAP (White + Green),11.6,12.5,5.8,0.3,,2/29,
1420,HEAR,8.3,9.7,7.6,0.34,,3/4,
1421,HEAR,12,9.7,8.6,0.32,,3/4,
1422,HEAR,5.3,5.2,4.5,0.2,,3/4,
1423,HEAR,9.4,6.5,6.4,0.3,,3/4,
1424,HEAR,11.4,7.8,7.2,0.41,,3/4,
1425,HEAR,12,15.8,11,0.4,,3/4,
1426,HEAR,10.2,8,7.3,0.3,,3/4,
1427,HEAR,10.3,8.3,6.4,0.33,,3/4,
1428,HEAR,7.6,8.2,5.5,0.29,,3/4,
1429,HEAR,14.9,14,13.9,0.39,,3/4,
1430,HEAR,20.2,14.6,11.8,0.51,,3/4,
1431,HEAR,11.1,11.2,10.4,0.38,,3/4,
1432,HEAR,11.4,9.8,7.4,0.29,,3/4,
1433,HEAR,7.7,11.6,4.9,0.4,,3/4,
1434,HEAR,16.6,17,12.9,0.34,,3/4,
1435,HEAR,8.9,10.6,8.8,0.5,,3/4,
1436,HEAR,13.1,9.4,7.8,0.41,,3/4,
1437,HEAR,12.7,9.2,6.7,0.3,,3/4,
1438,HEAR,12.5,8.4,7.3,0.3,,3/4,
1439,HEAR,9,10.1,7.6,0.3,,3/5,
1440,HEAR,9.3,8,6.5,0.22,,3/5,
1441,HEAR,7.8,6.7,4.2,0.23,,3/5,
1442,HEAR,12.5,9.4,6.4,0.4,,3/4,
1443,HEAR,8.3,11.2,6.1,0.49,,3/5,
1444,HEAR,9.4,9.1,7.8,0.6,,3/5,
1445,HEAR,9.4,10.4,5.5,0.42,,3/5,
1446,HEAR,10.6,10.9,5.1,0.27,,3/5,
1447,HEAR,13,8.7,6.5,0.3,,3/4,
1448,HEAR,8.5,7,5.6,0.26,,3/5,
1449,HEAR,10.6,9.6,9.7,0.4,,3/4,
1450,HEAR,9.6,8.6,7.3,0.3,,3/4,
1451,HEAR,7.6,7.8,4.9,0.3,,3/5,
1452,HEAR,9.1,10.2,7.1,0.3,,3/5,
1453,HEAR,11.4,9.3,6.8,0.4,,3/4,
1454,HEAR,8.2,10.6,7.4,0.57,,3/5,
1455,HEAR,7.9,9.4,5.7,0.21,,3/4,
1456,HEAR,8.4,9.7,5.7,0.32,,3/4,
1457,HEAR,7.7,6.8,6.3,0.27,,3/4,
1458,HEAR,13.9,12.9,10.8,0.35,,3/5,
1459,HEAR,10.8,7.2,6.3,0.29,,3/5,
1460,HEAR,8.1,7.6,4.9,0.31,,3/5,
1461,HEAR,7.3,5.3,5,0.3,,3/5,
1462,ADFA (Orange + Green),20.2,60.75,40,0.88,1 GAL,3/5,
1463,ADFA (Orange + Green),56.75,38,37.25,1.21,2 GAL,3/5,
1464,ADFA (Orange + Green),42.5,62,33,1.69,2 GAL,3/5,
1465,ADFA (Orange + Green),52.75,30.75,23.75,1,2 GAL,3/5,
1466,ADFA (Orange + Green),51,22.5,16.75,0.76,1 GAL,3/5,
1467,ADFA (Orange + Green),48.25,65,32.5,1.28,2 GAL,3/5,
1468,ADFA (Orange + Green),36,36,24.25,1.62,2 GAL,3/5,
1469,ADFA (Orange + Green),58,59.5,50.25,1.98,2 GAL,3/5,
1470,ADFA (Orange + Green),54.25,37.25,36.5,1.55,2 GAL,3/5,
1471,ADFA (Orange + Green),55.25,41.5,33.3,1.29,2 GAL,3/5,
1472,ADFA (Orange + Green),50.1,36.25,29,1.11,2 GAL,3/5,
1473,ADFA (Orange + Green),58.25,36,35.25,1.38,2 GAL,3/5,
1474,ADFA (Orange + Green),36.75,36.75,31,0.52,1 GAL,3/5,
1475,ADFA (Orange + Green),62,53.5,47.25,0.58,1 GAL,3/5,
1476,ADFA (Orange + Green),53.5,33,27.5,1.12,2 GAL,3/5,
1477,ADFA (Orange + Green),42.9,41.75,27.5,0.61,1 GAL,3/5,
1478,HEAR,7.1,6.3,3,0.31,,3/5,
1479,SANI (Orange + Yellow),10.6,14.5,6.3,0.4,,3/6,
1480,HEAR,10.6,8.2,8.1,0.22,,3/5,
1481,HEAR,6.9,11.1,6,0.41,,3/5,
1482,HEAR,10.1,7.6,6.8,0.3,,3/5,
1483,HEAR,6.3,9.1,5.3,0.29,,3/5,
1484,HEAR,8.6,7.7,7.2,0.43,,3/5,
1485,HEAR,8.6,11.6,8.1,0.44,,3/5,
1486,HEAR,7.2,7.5,6.8,0.3,,3/5,
1487,HEAR,7.9,8.2,8.6,0.34,,3/5,
1488,HEAR,10.2,6.1,5,0.29,,3/5,
1489,NO PLANT,,,,,,,
1490,NO PLANT,,,,,,,
1491,HEAR,12.9,8.3,7.3,0.26,,3/5,
1492,HEAR,9.8,7.2,7,0.38,,3/5,
1493,HEAR,9,9.2,6.2,0.38,,3/5,
1494,HEAR,7.7,9.9,8.1,0.31,,3/5,
1495,HEAR,8.6,6.3,5.9,0.5,,3/5,
1496,HEAR,8.9,9.1,6,0.35,,3/5,
1497,HEAR,8.5,6.4,5.2,0.28,,3/5,
1498,HEAR,10.1,8.9,8.8,0.43,,3/5,
1499,HEAR,6.8,7.2,6.8,0.39,,3/5,
1500,HEAR,8.7,13.6,3.4,0.48,,3/5,
1501,SAME (Orange + Pink),9.6,4.2,3.5,0.15,,3/6,
1502,SANI (Orange + Yellow),10.4,12.1,10.9,0.25,,3/6,
1503,SAME (Orange + Pink),9,5.1,5,0.19,,3/6,
1504,SAME (Orange + Pink),5.1,2.5,2,0.14,,3/6,
1505,SANI (Orange + Yellow),8.2,11.1,7.5,0.24,,3/6,
1506,SANI (Orange + Yellow),15.2,15.1,13.5,0.41,,3/6,
1507,HEAR,11.1,11,6.9,0.23,,3/5,
1508,HEAR,7.9,8.1,3.2,0.52,,3/5,
1509,HEAR,8.3,6.2,3.8,0.23,,3/5,
1510,HEAR,18.3,11.6,10.4,0.61,,3/9,
1511,HEAR,13.8,7.9,7.8,0.47,,3/5,
1512,HEAR,9.1,7.8,2.8,0.37,,3/5,
1513,HEAR,8.2,9.8,8,0.44,,3/5,
1514,HEAR,10.4,9,6.2,0.33,,3/5,
1515,HEAR,14.1,18.8,12.4,0.32,,3/5,
1516,NO PLANT,,,,,,,
1517,SAME (Orange + Pink),13.9,5.2,5.1,0.23,,3/5,
1518,HEAR,36.1,20.7,19.6,0.48,,3/5,
1519,HEAR,6.8,6.9,6.3,0.31,,3/5,
1520,HEAR,7.8,9.4,4.8,0.47,,3/5,
1521,HEAR,7.3,9,7.1,0.3,,3/5,
1522,HEAR,7.3,8.6,8.6,0.4,,3/5,
1523,HEAR,13.4,13.1,10.4,0.4,,3/5,
1524,HEAR,12.3,13.7,13.7,0.6,,3/5,
1525,HEAR,8.4,7.1,4.1,0.3,,3/5,
1526,HEAR,10.3,8.4,5.2,0.7,,3/5,
1527,HEAR,6.6,9.4,7,0.6,,3/5,
1528,HEAR,6.4,7.6,7.7,0.4,,3/5,
1529,HEAR,5.7,10.6,4.5,0.4,,3/5,
1530,HEAR,4.6,6.7,7.5,0.4,,3/5,
1531,SANI (Orange + Yellow),10.1,10.6,10.6,0.3,,3/6,
1532,SAME (Orange + Pink),10.5,7.8,7.2,0.3,,3/6,
1533,SANI (Orange + Yellow),9.4,13.3,9.3,0.3,,3/6,
1534,SANI (Orange + Yellow),6.8,20.9,10.7,0.4,,3/6,
1535,HEAR,7.25,8.4,3.9,0.36,,3/5,
1536,HEAR,8.6,7,4.9,0.41,,3/5,
1537,HEAR,3.1,13.6,7.4,0.5,,3/5,
1538,HEAR,6.3,8.25,6,0.38,,3/5,
1539,HEAR,6.4,4.8,3.9,0.25,,3/5,
1540,SANI (Orange + Yellow),5.5,12.1,9,0.5,,3/6,
1541,SANI (Orange + Yellow),12.6,14.1,9.2,0.3,,3/6,
1542,SAME (Orange + Pink),10.7,6.5,6.3,0.4,,3/6,
1543,SAME (Orange + Pink),12.3,9.1,7.5,0.3,,3/6,
1544,SANI (Orange + Yellow),7.1,14.1,8.3,0.4,,3/6,
1545,SAME (Orange + Pink),3.4,1.8,1,0.2,,3/6,
1546,SAME (Orange + Pink),6.5,5.3,5.1,0.3,,3/6,
1547,SANI (Orange + Yellow),2.9,4.5,3.7,0.3,,3/6,
1548,SANI (Orange + Yellow),7.6,16.1,11.4,0.3,,3/6,
1549,SAME (Orange + Pink),6.1,4.1,2.6,0.2,,3/6,
1550,SANI (Orange + Yellow),13.1,26.7,23.1,0.7,,3/6,
1551,SANI (Orange + Yellow),9.1,15.1,14.4,0.3,,3/6,
1552,SANI (Orange + Yellow),7.5,12,10.5,0.35,,3/6,
1553,SANI (Orange + Yellow),9.75,19.25,15.75,0.4,,3/6,
1554,SAME (Orange + Pink),5.25,5.25,5.1,0.25,,3/6,
1555,SAME (Orange + Pink),4.2,3.25,2.8,0.19,,3/6,
1556,SAME (Orange + Pink),5.75,10.8,6.9,0.39,,3/6,
1557,SANI (Orange + Yellow),8.4,12.9,10.4,0.31,,3/6,
1558,SAME (Orange + Pink),11.8,5.9,5.6,0.25,,3/6,
1559,SANI (Orange + Yellow),7.75,13.6,13.5,0.43,,3/6,
1560,SANI (Orange + Yellow),8.25,13,11.2,0.32,,3/6,
1561,SANI (Orange + Yellow),9.75,16.6,10.7,0.47,,3/6,
1562,SAME (Orange + Pink),4.9,4.4,3.9,0.24,,3/6,
1563,SANI (Orange + Yellow),4.4,9.4,6.5,0.32,,3/6,
1564,SANI (Orange + Yellow),15.5,20.9,14.5,0.32,,3/6,
1565,SAME (Orange + Pink),6.4,4,3.5,0.25,,3/6,
1566,SANI (Orange + Yellow),7.2,10.9,7.3,0.25,,3/6,
1567,SAME (Orange + Pink),5.1,4.3,3.9,0.23,,3/6,
1568,SANI (Orange + Yellow),12.5,12.25,6.25,0.56,,3/6,
1569,SANI (Orange + Yellow),7.5,12.9,12.8,0.39,,3/6,
1570,SAME (Orange + Pink),5,3.25,2.4,0.22,,3/6,
1571,SANI (Orange + Yellow),8,8.8,7.8,0.32,,3/6,
1572,SAME (Orange + Pink),1.7,4.9,4.3,0.18,,3/6,
1573,SANI (Orange + Yellow),7.8,9.2,4.5,0.31,,3/6,
1574,SANI (Orange + Yellow),11,16.1,11.6,0.3,,3/6,
1575,SAME (Orange + Pink),4.8,4.1,3.7,0.18,,3/6,
1576,SANI (Orange + Yellow),10.6,11.2,8.8,0.19,,3/6,
1577,SANI (Orange + Yellow),10,9.8,8.1,0.18,,3/6,
1578,SANI (Orange + Yellow),8.5,18.6,14.3,0.32,,3/6,
1579,SANI (Orange + Yellow),3,2.6,1.9,0.16,,3/6,
1580,SAME (Orange + Pink),9.6,5,4.4,0.26,,3/6,
1581,SANI (Orange + Yellow),12,21.9,15.6,0.51,,3/6,
1582,SAME (Orange + Pink),9.6,7.5,5.5,0.19,,3/6,
1583,SAME (Orange + Pink),4.2,3.3,2.9,0.2,,3/6,
1584,SAME (Orange + Pink),6.5,4.9,3.9,0.5,,3/6,
1585,SANI (Orange + Yellow),9,7.6,5.3,0.27,,3/6,
1586,SANI (Orange + Yellow),10.1,14,9.9,0.3,,3/6,
1587,SANI (Orange + Yellow),14.8,17.6,18.6,0.9,,3/6,
1588,SAME (Orange + Pink),3.3,4.3,3.9,0.16,,3/6,
1589,SANI (Orange + Yellow),15,20.9,16.6,0.63,,3/6,
1590,HEAR,9.7,12.6,11.25,0.32,,3/9,
1591,HEAR,5.7,16.25,12.25,0.38,,3/9,
1592,HEAR,6.5,12.4,11,0.39,,3/9,
1593,HEAR,12.8,16,15.5,0.33,,3/9,
1594,SANI (Orange + Yellow),3.8,7.7,7.6,0.3,,3/9,
1595,SAME (Orange + Pink),8.4,7.7,6.7,0.26,,3/9,
1596,SAME (Orange + Pink),6.5,5.4,4.2,0.26,,3/9,
1597,SANI (Orange + Yellow),6.9,7,6.2,0.31,,3/9,
1598,SAME (Orange + Pink),3.4,4,3.5,0.21,,3/9,
1599,SANI (Orange + Yellow),9.4,10.6,10.5,0.35,,3/6,
1600,SANI (Orange + Yellow),12.3,28.5,15.2,0.38,,3/6,
1601,SAME (Orange + Pink),6.2,5.5,5.3,0.19,,3/9,
1602,SANI (Orange + Yellow),6.25,20.4,8.4,0.39,,3/9,
1603,SANI (Orange + Yellow),5.8,12.3,8.5,0.29,,3/9,
1604,SAME (Orange + Pink),4.5,3.9,2.9,0.27,,3/9,
1605,HEAR,15.4,15.6,14.1,0.35,,3/9,
1606,SAME (Orange + Pink),10.2,3.4,3.2,0.16,,3/9,
1607,SANI (Orange + Yellow),9.1,10.3,8.8,0.52,,3/9,
1608,SAME (Orange + Pink),8.4,5.4,4.8,0.23,,3/9,
1609,SANI (Orange + Yellow),8.2,15.8,7.9,0.39,,3/9,
1610,SAME (Orange + Pink),8,3.4,3.3,0.25,,3/9,
1611,SANI (Orange + Yellow),13.6,12.3,7.8,0.28,,3/9,
1612,SAME (Orange + Pink),8.3,5.2,4.9,0.24,,3/9,
1613,SANI (Orange + Yellow),6.9,10.2,7.7,0.18,,3/9,
1614,ADFA (Orange + Green),96.5,70.3,35.6,1.4,2 GAL,3/9,
1615,SAME (Orange + Pink),13.8,10.2,7.8,0.22,,3/9,
1616,SANI (Orange + Yellow),10,9.9,9.6,0.33,,3/9,
1617,ADFA (Orange + Green),58.6,36.4,29.6,0.9,2 GAL,3/9,
1618,HEAR,13,14.8,10.3,0.37,,3/9,
1619,SANI (Orange + Yellow),5.6,9.5,6.8,0.32,,3/9,
1620,ADFA (Orange + Green),50.8,39,25.5,1.18,2 GAL,3/9,
1621,ADFA (Orange + Green),57.75,51.75,41.5,1.37,2 GAL,3/9,
1622,ADFA (Orange + Green),50,51.5,37.5,1.5,2 GAL,3/9,
1623,ADFA (Orange + Green),52.4,57,31.5,1.23,2 GAL,3/9,
1624,ADFA (Orange + Green),57,62.5,51.25,1.4,2 GAL,3/9,
1625,ADFA (Orange + Green),65.1,52.5,35.8,1.22,2 GAL,3/9,
1626,ADFA (Orange + Green),59.5,35.4,21.6,1.1,2 GAL,3/18,
1627,ADFA (Orange + Green),54.2,66.3,49.1,1.45,2 GAL,3/18,
1628,ADFA (Orange + Green),50.3,50.7,24.7,1.17,2 GAL,3/18,
1629,HEAR,22.9,9.4,8.9,0.5,,3/18,
1630,ADFA (Orange + Green),63.8,56.6,41.2,0.99,2 GAL,3/18,
1631,ADFA (Orange + Green),66.1,53.2,40.4,1.5,2 GAL,3/18,
1632,ADFA (Orange + Green),71.1,50.5,37.9,1.39,2 GAL,3/18,
1633,ADFA (Orange + Green),80.9,47.2,19.5,1.2,2 GAL,3/18,
1634,HEAR,14.5,12,13.9,0.35,,3/18,
1635,ADFA (Orange + Green),55.5,47.1,36.5,1.4,2 GAL,3/18,
1636,ADFA (Orange + Green),55.2,55.9,25.2,1.1,2 GAL,3/18,
1637,ADFA (Orange + Green),63.2,61.9,28.5,1.3,2 GAL,3/18,
1638,HEAR,9.9,11.6,8.2,0.52,,3/19,
1639,ADFA (Orange + Green),53.5,51.5,47.25,1.35,2 GAL,3/19,
1640,SANI (Orange + Yellow),7.3,10.4,9.9,0.3,,3/27,
1641,ADFA (Orange + Green),60.2,25.6,24.2,1.9,2 GAL,3/19,
1642,HEAR,21.9,18.4,15.5,0.5,,3/19,
1643,HEAR,19.5,14.7,12.2,0.5,,3/19,
1644,ADFA (Orange + Green),59.8,49.1,39.6,1.39,2 GAL,3/19,
1645,ADFA (Orange + Green),54.1,30.1,25.3,1.49,2 gal,3/19,
1646,ADFA (Orange + Green),60.4,63.6,31.9,1.61,2 gal,3/19,
1647,SAME (Orange + Pink),8.4,7.2,5.3,0.28,,3/27,
1648,SANI (Orange + Yellow),7.6,12.4,7.1,0.49,,3/27,
1649,SAME (Orange + Pink),7.9,7.2,5.6,0.18,,3/27,
1650,SANI (Orange + Yellow),8,6.5,6.25,0.48,,3/27,
1651,SAME (Orange + Pink),5,5.5,4.75,0.29,,3/27,
1652,SANI (Orange + Yellow),8.1,11.3,10.1,0.41,,3/27,
1653,SAME (Orange + Pink),9.1,7.4,5.3,0.22,,3/27,
1654,SANI (Orange + Yellow),6.4,9.4,7.75,0.35,,3/27,
1655,SAME (Orange + Pink),5.1,4.4,3.8,0.27,,3/27,
1656,SAME (Orange + Pink),12.1,7.9,7.9,0.35,,3/27,
1657,SANI (Orange + Yellow),5.8,8.5,6.7,0.4,,3/27,
1658,SANI (Orange + Yellow),7.7,9,8.6,0.3,,3/27,
1659,SAME (Orange + Pink),7.6,3.6,3,0.25,,3/27,
1660,NO PLANT,,,,,,,
1661,SAME (Orange + Pink),7.2,4.7,4.4,0.2,,3/27,
1662,SAME (Orange + Pink),9.3,7,6.2,0.3,,3/27,
1663,SANI (Orange + Yellow),9.5,10.9,10.2,0.4,,3/27,
1664,SANI (Orange + Yellow),5.1,9.7,5.3,0.38,,3/27,
1665,SANI (Orange + Yellow),9.5,7.6,6.4,0.3,,3/27,
1666,SAME (Orange + Pink),12.5,9.7,6,0.35,,3/27,
1667,CEOL (Orange),,,,,,,
1668,SAAP (White + Green),,,,,,,
1669,CEOL (Orange),,,,,,,
1670,RHOV (White + Pink),,,,,,,
1671,SANI (Orange + Yellow),,,,,,,
1672,CEOL (Orange),,,,,,,
1673,SANI (Orange + Yellow),,,,,,,
1674,RHOV (White + Pink),,,,,,,
1675,ENCA (Pink),,,,,,,
1676,HEWH (White),,,,,,,
1677,RHOV (White + Pink),,,,,,,
1678,CEOL (Orange),,,,,,,
1679,HEWH (White),,,,,,,
1680,HEWH (White),,,,,,,
1681,RHOV (White + Pink),,,,,,,
1682,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1683,CEOL (Orange),,,,,,,
1684,ENCA (Pink),,,,,,,
1685,HEWH (White),,,,,,,
1686,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1687,ENCA (Pink),,,,,,,
1688,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1689,MALA (White + Yellow),,,,,,,
1690,ENCA (Pink),,,,,,,
1691,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1692,MALA (White + Yellow),,,,,,,
1693,SAAP (White + Green),,,,,,,
1694,CEOL (Orange),,,,,,,
1695,SAAP (White + Green),,,,,,,
1696,HEWH (White),,,,,,,
1697,CEOL (Orange),,,,,,,
1698,HEWH (White),,,,,,,
1699,RHOV (White + Pink),,,,,,,
1700,MALA (White + Yellow),,,,,,,
1701,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1702,MALA (White + Yellow),,,,,,,
1703,MALA (White + Yellow),,,,,,,
1704,SANI (Orange + Yellow),,,,,,,
1705,HEWH (White),,,,,,,
1706,CEOL (Orange),,,,,,,
1707,SAME (Orange + Pink),,,,,,,
1708,SANI (Orange + Yellow),,,,,,,
1709,RHOV (White + Pink),,,,,,,
1710,ENCA (Pink),,,,,,,
1711,CEOL (Orange),,,,,,,
1712,HEWH (White),,,,,,,
1713,CEOL (Orange),,,,,,,
1714,RHOV (White + Pink),,,,,,,
1715,RHOV (White + Pink),,,,,,,
1716,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1717,HEWH (White),,,,,,,
1718,RHOV (White + Pink),,,,,,,
1719,CEOL (Orange),,,,,,,
1720,RHOV (White + Pink),,,,,,,
1721,SAME (Orange + Pink),,,,,,,
1722,HEWH (White),,,,,,,
1723,HEWH (White),,,,,,,
1724,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1725,RHOV (White + Pink),,,,,,,
1726,SAAP (White + Green),,,,,,,
1727,SANI (Orange + Yellow),,,,,,,
1728,HEWH (White),,,,,,,
1729,RHOV (White + Pink),,,,,,,
1730,CEOL (Orange),,,,,,,
1731,CEOL (Orange),,,,,,,
1732,RHOV (White + Pink),,,,,,,
1733,HEWH (White),,,,,,,
1734,HEWH (White),,,,,,,
1735,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1736,RHOV (White + Pink),,,,,,,
1737,HEWH (White),,,,,,,
1738,SANI (Orange + Yellow),,,,,,,
1739,CEOL (Orange),,,,,,,
1740,RHOV (White + Pink),,,,,,,
1741,CEOL (Orange),,,,,,,
1742,ENCA (Pink),,,,,,,
1743,RHOV (White + Pink),,,,,,,
1744,ENCA (Pink),,,,,,,
1745,SAAP (White + Green),,,,,,,
1746,HEWH (White),,,,,,,
1747,RHOV (White + Pink),,,,,,,
1748,SAAP (White + Green),,,,,,,
1749,SAME (Orange + Pink),,,,,,,
1750,CEOL (Orange),,,,,,,
1751,CEOL (Orange),,,,,,,
1752,SAAP (White + Green),,,,,,,
1753,SAAP (White + Green),,,,,,,
1754,CEOL (Orange),,,,,,,
1755,SAME (Orange + Pink),,,,,,,
1756,SANI (Orange + Yellow),,,,,,,
1757,SANI (Orange + Yellow),,,,,,,
1758,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1759,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1760,MALA (White + Yellow),,,,,,,
1761,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1762,RHOV (White + Pink),,,,,,,
1763,HEWH (White),,,,,,,
1764,CEOL (Orange),,,,,,,
1765,ENCA (Pink),,,,,,,
1766,SANI (Orange + Yellow),,,,,,,
1767,ENCA (Pink),,,,,,,
1768,CEOL (Orange),,,,,,,
1769,CEOL (Orange),,,,,,,
1770,CEOL (Orange),,,,,,,
1771,ENCA (Pink),,,,,,,
1772,HEWH (White),,,,,,,
1773,RHOV (White + Pink),,,,,,,
1774,HEWH (White),,,,,,,
1775,ENCA (Pink),,,,,,,
1776,HEWH (White),,,,,,,
1777,ENCA (Pink),,,,,,,
1778,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1779,SANI (Orange + Yellow),,,,,,,
1780,RHOV (White + Pink),,,,,,,
1781,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1782,ENCA (Pink),,,,,,,
1783,ENCA (Pink),,,,,,,
1784,SANI (Orange + Yellow),,,,,,,
1785,RHOV (White + Pink),,,,,,,
1786,CEOL (Orange),,,,,,,
1787,SAAP (White + Green),,,,,,,
1788,ENCA (Pink),,,,,,,
1789,HEWH (White),,,,,,,
1790,HEWH (White),,,,,,,
1791,HEWH (White),,,,,,,
1792,SAAP (White + Green),,,,,,,
1793,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1794,SAAP (White + Green),,,,,,,
1795,RHOV (White + Pink),,,,,,,
1796,RHOV (White + Pink),,,,,,,
1797,HEWH (White),,,,,,,
1798,ENCA (Pink),,,,,,,
1799,CEOL (Orange),,,,,,,
1800,RHOV (White + Pink),,,,,,,
1801,HEWH (White),,,,,,,
1802,HEWH (White),,,,,,,
1803,HEWH (White),,,,,,,
1804,HEWH (White),,,,,,,
1805,SANI (Orange + Yellow),,,,,,,
1806,ENCA (Pink),,,,,,,
1807,HEWH (White),,,,,,,
1808,RHOV (White + Pink),,,,,,,
1809,CEOL (Orange),,,,,,,
1810,CEOL (Orange),,,,,,,
1811,CEOL (Orange),,,,,,,
1812,HEAR,,,,,,,
1813,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1814,HEWH (White),,,,,,,
1815,SAME (Orange + Pink),,,,,,,
1816,SANI (Orange + Yellow),,,,,,,
1817,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1818,MALA (White + Yellow),,,,,,,
1819,MALA (White + Yellow),,,,,,,
1820,CEOL (Orange),,,,,,,
1821,SAAP (White + Green),,,,,,,
1822,RHOV (White + Pink),,,,,,,
1823,SAME (Orange + Pink),,,,,,,
1824,HEWH (White),,,,,,,
1825,HEWH (White),,,,,,,
1826,CEOL (Orange),,,,,,,
1827,CEOL (Orange),,,,,,,
1828,RHOV (White + Pink),,,,,,,
1829,HEWH (White),,,,,,,
1830,SAME (Orange + Pink),,,,,,,
1831,RHOV (White + Pink),,,,,,,
1832,CEOL (Orange),,,,,,,
1833,SAME (Orange + Pink),,,,,,,
1834,SANI (Orange + Yellow),,,,,,,
1835,CEOL (Orange),,,,,,,
1836,SANI (Orange + Yellow),,,,,,,
1837,RHOV (White + Pink),,,,,,,
1838,MALA (White + Yellow),,,,,,,
1839,ENCA (Pink),,,,,,,
1840,HEWH (White),,,,,,,
1841,RHOV (White + Pink),,,,,,,
1842,RHOV (White + Pink),,,,,,,
1843,ENCA (Pink),,,,,,,
1844,CEOL (Orange),,,,,,,
1845,MALA (White + Yellow),,,,,,,
1846,MALA (White + Yellow),,,,,,,
1847,SANI (Orange + Yellow),,,,,,,
1848,ENCA (Pink),,,,,,,
1849,MALA (White + Yellow),,,,,,,
1850,CEOL (Orange),,,,,,,
1851,RHOV (White + Pink),,,,,,,
1852,ENCA (Pink),,,,,,,
1853,HEWH (White),,,,,,,
1854,SAME (Orange + Pink),,,,,,,
1855,RHOV (White + Pink),,,,,,,
1856,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
1857,SAME (Orange + Pink),,,,,,,
1858,ENCA (Pink),,,,,,,
1859,HEAR,,,,,,,
1860,SAME (Orange + Pink),,,,,,,
1861,SAAP (White + Green),,,,,,,
1862,CEOL (Orange),,,,,,,
1863,SAAP (White + Green),,,,,,,
1864,ADFA (Orange + Green),,,,,1 GAL / 2 GAL,,
