OID,Plot_Number, Date, Time, Moisture %
1,4,4/10/2020,10:21:58,10.8
2,4,4/10/2020,10:22:43,9
3,4,4/10/2020,10:23:33,14.9
4,13,4/10/2020,10:15:31,10.8
5,13,4/10/2020,10:15:31,7.8
6,13,4/10/2020,10:15:31,20.5
7,13,4/10/2020,10:18:16,13.7
8,34,4/10/2020,11:02:19,12.8
9,34,4/10/2020,11:02:56,12.8
10,34,4/10/2020,11:03:42,12
11,37,4/10/2020,11:06:06,8.4
12,37,4/10/2020,11:07:22,16.3
13,37,4/10/2020,11:08:03,13.6
14,92,4/10/2020,10:57:16,11.4
15,92,4/10/2020,10:57:55,18
16,92,4/10/2020,10:59:03,9
17,97,4/10/2020,11:10:40,13
18,97,4/10/2020,11:11:19,15.3
19,97,4/10/2020,11:11:56,20.3
20,119,4/10/2020,10:32:17,16.7
21,119,4/10/2020,10:33:00,19.4
22,119,4/10/2020,10:33:50,20.8
23,133,4/10/2020,10:28:15,15.2
24,133,4/10/2020,10:29:46,13.2
25,133,4/10/2020,10:30:26,5.9
26,138,4/10/2020,10:39:47,20.5
27,138,4/10/2020,10:40:42,15.4
28,138,4/10/2020,10:41:46,15.6
29,153,4/10/2020,10:35:49,15.2
30,153,4/10/2020,10:36:29,9.7
31,153,4/10/2020,10:37:09,10.4
32,155,4/10/2020,10:50:18,16.9
33,155,4/10/2020,10:51:07,14.6
34,155,4/10/2020,10:51:38,11.1
35,157,4/10/2020,10:44:37,15.3
36,157,4/10/2020,10:46:16,9.6
37,157,4/10/2020,10:45:18,16.5
38,166,4/10/2020,10:53:17,17.2
39,166,4/10/2020,10:54:13,18.5
40,166,4/10/2020,10:54:59,12.4
41,190,4/10/2020,11:52:04,17.2
42,190,4/10/2020,11:52:35,11.9
43,190,4/10/2020,11:55:24,16.7
44,203,4/10/2020,11:13:50,18.6
45,203,4/10/2020,11:14:43,17.6
46,203,4/10/2020,11:15:23,21.2
47,205,4/10/2020,11:17:26,8.9
48,205,4/10/2020,11:18:05,7.9
49,205,4/10/2020,11:18:34,12.7
50,223,4/10/2020,11:20:49,15.2
51,223,4/10/2020,11:21:40,18.1
52,223,4/10/2020,11:22:19,9.3
53,226,4/10/2020,11:24:19,11.1
54,226,4/10/2020,11:24:50,11.8
55,226,4/10/2020,11:25:23,17.5
56,241,4/10/2020,11:34:15,15
57,241,4/10/2020,11:34:53,11.8
58,241,4/10/2020,11:35:27,14.2
59,244,4/10/2020,11:37:39,9.4
60,244,4/10/2020,11:38:27,16.2
61,244,4/10/2020,11:39:11,16.4
62,253,4/10/2020,11:27:31,13.2
63,253,4/10/2020,11:28:25,15.3
64,253,4/10/2020,11:28:59,17
65,257,4/10/2020,11:31:01,14.5
66,257,4/10/2020,11:31:33,15.9
67,257,4/10/2020,11:32:06,19.1
68,270,4/10/2020,11:43:17,11.9
69,270,4/10/2020,11:43:55,10.4
70,270,4/10/2020,11:44:39,16.8
71,282,4/10/2020,11:46:19,16.8
72,282,4/10/2020,11:47:07,21.9
73,282,4/10/2020,11:47:59,12.9
74,282,4/10/2020,11:48:49,16.7
75,301,4/10/2020,11:56:19,5
76,301,4/10/2020,11:56:51,12.8
77,301,4/10/2020,11:57:22,5.8
78,301,4/10/2020,11:58:04,13.4
79,332,4/10/2020,12:00:30,14.8
80,332,4/10/2020,12:01:04,12.7
81,332,4/10/2020,12:01:44,13.5
82,353,4/10/2020,12:03:02,14.9
83,353,4/10/2020,12:03:43,11.7
84,353,4/10/2020,12:04:25,19.2
85,353,4/10/2020,12:05:07,11.5
86,403,4/10/2020,12:06:34,10.3
87,403,4/10/2020,12:07:08,7.6
88,403,4/10/2020,12:07:37,14.6
89,417,4/10/2020,12:24:18,15.7
90,417,4/10/2020,12:24:56,8
91,417,4/10/2020,12:25:26,13.4
92,423,4/10/2020,12:26:52,10.8
93,423,4/10/2020,12:27:40,7.9
94,423,4/10/2020,12:28:11,15.2
95,425,4/10/2020,12:35:11,9.1
96,425,4/10/2020,12:36:00,18.3
97,425,4/10/2020,12:37:33,14.3
98,425,4/10/2020,12:38:50,16.7
99,431,4/10/2020,12:53:54,15
100,431,4/10/2020,12:54:38,10.1
101,431,4/10/2020,12:55:30,14.8
102,434,4/10/2020,12:28:58,8.4
103,434,4/10/2020,12:29:26,5.4
104,434,4/10/2020,12:30:06,13.1
105,434,4/10/2020,12:30:45,8.6
106,463,4/10/2020,12:58:33,8
107,463,4/10/2020,12:59:11,8.2
108,463,4/10/2020,12:59:37,8.7
109,475,4/10/2020,12:49:16,12
110,475,4/10/2020,12:50:22,7.9
111,475,4/10/2020,12:51:05,16
112,475,4/10/2020,12:51:41,10.9
113,493,4/10/2020,13:02:26,7.6
114,493,4/10/2020,13:03:23,10.2
115,493,4/10/2020,13:04:02,9.6
116,498,4/10/2020,13:05:30,12.2
117,498,4/10/2020,13:06:54,10.4
118,498,4/10/2020,13:07:30,8.4
119,519,4/10/2020,12:45:02,12.5
120,519,4/10/2020,12:46:00,11
121,519,4/10/2020,12:46:37,10.2
122,548,4/10/2020,13:53:26,17.3
123,548,4/10/2020,13:54:04,9.3
124,548,4/10/2020,13:54:43,13.5
125,565,4/10/2020,13:56:32,9.4
126,565,4/10/2020,13:57:11,7.1
127,565,4/10/2020,13:58:06,7.8
128,595,4/10/2020,14:00:09,7.8
129,595,4/10/2020,14:00:50,7.8
130,595,4/10/2020,14:01:21,13.2
131,614,4/10/2020,14:05:24,11.8
132,614,4/10/2020,14:06:10,9.2
133,614,4/10/2020,14:06:43,12.3
134,624,4/10/2020,14:11:51,9.6
135,624,4/10/2020,14:13:22,7.9
136,624,4/10/2020,14:13:54,8.5
137,633,4/10/2020,14:09:13,13.6
138,633,4/10/2020,14:09:56,10
139,633,4/10/2020,14:10:21,9.9
140,643,4/10/2020,14:16:03,9
141,643,4/10/2020,14:16:46,14
142,643,4/10/2020,14:17:14,8
143,672,4/10/2020,14:46:35,16
144,672,4/10/2020,14:47:31,13.6
145,672,4/10/2020,14:48:16,9.3
146,702,4/10/2020,14:02:28,9.1
147,702,4/10/2020,14:03:07,8.5
148,702,4/10/2020,14:03:44,7.7
149,726,4/10/2020,14:26:16,10
150,726,4/10/2020,14:26:48,11.1
151,726,4/10/2020,14:27:15,10.7
152,740,4/10/2020,14:29:28,9
153,740,4/10/2020,14:30:06,5.9
154,740,4/10/2020,14:30:49,12.9
155,740,4/10/2020,14:31:31,8
156,764,4/10/2020,14:32:50,9.3
157,764,4/10/2020,14:33:46,12.7
158,764,4/10/2020,14:34:27,5.8
159,783,4/10/2020,14:19:39,11.7
160,783,4/10/2020,14:20:13,7.7
161,783,4/10/2020,14:20:55,10.4
162,808,4/10/2020,14:37:00,11.2
163,808,4/10/2020,14:37:30,8.1
164,808,4/10/2020,14:38:13,13.1
165,820,4/10/2020,14:49:58,12.5
166,820,4/10/2020,14:50:29,6.6
167,820,4/10/2020,14:51:06,9.1
168,839,4/10/2020,14:57:17,6.3
169,839,4/10/2020,14:57:53,2.2
170,839,4/10/2020,14:58:27,7.5
171,845,4/10/2020,15:18:26,10.9
172,845,4/10/2020,15:19:01,8
173,845,4/10/2020,15:19:41,8.3
174,857,4/10/2020,15:01:42,9
175,857,4/10/2020,15:02:33,9.7
176,857,4/10/2020,15:03:09,6.3
177,860,4/10/2020,14:52:34,4.6
178,860,4/10/2020,14:53:25,8.1
179,860,4/10/2020,14:53:51,11.1
180,860,4/10/2020,14:55:06,4
181,870,4/10/2020,15:15:17,6.4
182,870,4/10/2020,15:15:55,13.4
183,870,4/10/2020,15:16:24,13.7
184,878,4/10/2020,15:26:57,11.6
185,878,4/10/2020,15:27:35,7.2
186,878,4/10/2020,15:28:07,12.5
187,883,4/10/2020,15:12:39,18.4
188,883,4/10/2020,15:13:25,13.5
189,883,4/10/2020,15:13:56,16.8
190,918,4/10/2020,15:23:31,12.8
191,918,4/10/2020,15:24:19,15.6
192,918,4/10/2020,15:25:18,16.9
193,954,4/10/2020,15:41:36,15.4
194,954,4/10/2020,15:42:23,15.9
195,954,4/10/2020,15:43:03,14.6
196,971,4/10/2020,15:38:04,9
197,971,4/10/2020,15:38:42,7.2
198,971,4/10/2020,15:39:12,8.5
199,979,4/10/2020,15:31:38,6.9
200,979,4/10/2020,15:32:08,5.4
201,979,4/10/2020,15:32:37,4.4
202,990,4/10/2020,15:34:27,5.4
203,990,4/10/2020,15:35:02,10.2
204,990,4/10/2020,15:35:46,6.7
205,1026,4/10/2020,16:17:19,20.7
206,1026,4/10/2020,16:18:15,22
207,1026,4/10/2020,16:19:03,20.6
208,1033,4/10/2020,16:12:41,16.5
209,1033,4/10/2020,16:13:24,13.2
210,1033,4/10/2020,16:13:58,16.4
211,1040,4/10/2020,16:22:29,12.8
212,1040,4/10/2020,16:22:59,17.7
213,1040,4/10/2020,16:23:32,12.9
214,1064,4/10/2020,16:25:35,7.1
215,1064,4/10/2020,16:26:03,15.6
216,1064,4/10/2020,16:26:34,11.9
217,1064,4/10/2020,16:27:17,11.1
218,1087,4/10/2020,16:33:09,8.3
219,1087,4/10/2020,16:33:47,10.3
220,1087,4/10/2020,16:34:30,15.9
221,1096,4/10/2020,16:28:37,21.2
222,1096,4/10/2020,16:29:08,18.1
223,1096,4/10/2020,16:29:49,8.3
224,1096,4/10/2020,16:30:22,15.6
225,1155,4/10/2020,17:05:10,12.1
226,1155,4/10/2020,17:05:38,10.8
227,1155,4/10/2020,17:06:17,11.6
228,1164,4/10/2020,17:02:52,13
229,1164,4/10/2020,17:03:21,14.3
230,1164,4/10/2020,17:03:54,10.9
231,1167,4/10/2020,17:07:55,10
232,1167,4/10/2020,17:08:39,11.1
233,1167,4/10/2020,17:09:19,13.5
234,1177,4/10/2020,17:11:23,3.9
235,1177,4/10/2020,17:11:56,8.1
236,1177,4/10/2020,17:12:30,7.4
237,1182,4/10/2020,16:41:59,15.9
238,1182,4/10/2020,16:42:58,19.7
239,1182,4/10/2020,16:43:33,12.1
240,1188,4/10/2020,16:59:28,14.5
241,1188,4/10/2020,17:00:11,13.8
242,1188,4/10/2020,17:00:38,19.9
243,1190,4/10/2020,16:57:12,17.3
244,1190,4/10/2020,16:57:44,11.8
245,1190,4/10/2020,16:58:29,15.3
246,1195,4/10/2020,16:54:00,10.8
247,1195,4/10/2020,16:54:30,9.8
248,1195,4/10/2020,16:55:00,13.1
249,1219,4/10/2020,16:04:05,7.8
250,1219,4/10/2020,16:04:38,2
251,1219,4/10/2020,16:05:11,12.4
252,1219,4/10/2020,16:05:45,7.8
253,1232,4/10/2020,16:48:23,10.1
254,1232,4/10/2020,16:48:56,10.1
255,1232,4/10/2020,16:49:36,9
256,1234,4/10/2020,16:45:23,15.5
257,1234,4/10/2020,16:46:01,7.7
258,1234,4/10/2020,16:46:39,16.1
259,1257,4/10/2020,16:08:09,15.4
260,1257,4/10/2020,16:08:45,13.6
261,1257,4/10/2020,16:09:18,9.9
262,1349,4/10/2020,17:15:09,17.3
263,1349,4/10/2020,17:15:46,16
264,1367,4/10/2020,16:51:17,9.4
265,1367,4/10/2020,16:51:54,6.8
266,1367,4/10/2020,16:52:19,8.9
267,1388,4/10/2020,16:37:24,10.2
268,1388,4/10/2020,16:38:12,20
269,1388,4/10/2020,16:38:53,18.5
270,1388,4/10/2020,16:39:40,13.9
271,1446,4/10/2020,12:32:08,8.3
272,1546,4/10/2020,12:32:57,9.1
273,1546,4/10/2020,12:34:04,14.1
274,4,4/23/2020,15:50:23,16.2
275,4,4/23/2020,15:50:52,25.1
276,4,4/23/2020,15:51:30,32.4
277,4,4/23/2020,15:51:56,20.7
278,13,4/23/2020,15:47:22,18.3
279,13,4/23/2020,15:47:41,26.3
280,13,4/23/2020,15:48:17,16.7
281,13,4/23/2020,15:48:59,20.4
282,34,4/23/2020,15:17:25,23.8
283,34,4/23/2020,15:17:51,24.6
284,34,4/23/2020,15:18:33,22.9
285,37,4/23/2020,15:14:51,28.4
286,37,4/23/2020,15:14:09,23.9
287,37,4/23/2020,15:15:53,27.5
288,92,4/23/2020,15:02:34,27
289,92,4/23/2020,15:03:00,19.3
290,92,4/23/2020,15:03:25,26.7
291,92,4/23/2020,15:04:31,24.6
292,97,4/23/2020,15:09:19,25.5
293,97,4/23/2020,15:09:19,26.3
294,97,4/23/2020,15:10:30,26.4
295,119,4/23/2020,15:38:39,24
296,119,4/23/2020,15:38:16,16.7
297,119,4/23/2020,15:39:04,24.3
298,119,4/23/2020,15:39:23,21.7
299,133,4/23/2020,15:41:09,25.6
300,133,4/23/2020,15:42:37,23.4
301,133,4/23/2020,15:43:16,21.5
302,134,4/23/2020,15:45:16,20.8
303,134,4/23/2020,15:44:49,25.2
304,134,4/23/2020,15:45:40,21.6
305,138,4/23/2020,15:55:17,26.7
306,138,4/23/2020,15:55:46,29.4
307,138,4/23/2020,15:56:14,25.6
308,153,4/23/2020,15:34:02,26
309,153,4/23/2020,15:34:43,27.6
310,153,4/23/2020,15:35:27,26.7
311,155,4/23/2020,15:24:11,25.7
312,155,4/23/2020,15:25:43,24.5
313,155,4/23/2020,15:26:08,20.2
314,157,4/23/2020,15:28:04,25
315,157,4/23/2020,15:27:32,25.3
316,157,4/23/2020,15:28:32,20.1
317,166,4/23/2020,14:59:56,32.3
318,166,4/23/2020,15:00:25,21.6
319,166,4/23/2020,15:00:51,26.5
320,190,4/23/2020,14:27:42,25.1
321,190,4/23/2020,14:28:52,22.2
322,190,4/23/2020,14:29:10,27.2
323,203,4/23/2020,15:05:49,22.6
324,203,4/23/2020,15:06:16,22.4
325,203,4/23/2020,15:06:40,31.7
326,203,4/23/2020,15:07:25,31.1
327,205,4/23/2020,14:53:44,34.1
328,205,4/23/2020,14:54:32,28.6
329,205,4/23/2020,14:54:58,26
330,223,4/23/2020,14:50:27,24
331,223,4/23/2020,14:50:53,28.8
332,223,4/23/2020,14:51:25,38.2
333,223,4/23/2020,14:52:12,27.5
334,226,4/23/2020,14:47:50,23.3
335,226,4/23/2020,14:48:11,20.5
336,226,4/23/2020,14:48:43,15.2
337,226,4/23/2020,14:49:04,24.3
338,241,4/23/2020,14:56:28,26.2
339,241,4/23/2020,14:57:08,16.2
340,241,4/23/2020,14:57:34,23.7
341,241,4/23/2020,14:58:13,25.6
342,244,4/23/2020,14:31:52,25.5
343,244,4/23/2020,14:32:53,26
344,244,4/23/2020,14:33:24,22.6
345,253,4/23/2020,14:43:41,12.7
346,253,4/23/2020,14:44:20,32
347,253,4/23/2020,14:44:58,24.3
348,253,4/23/2020,14:45:43,28.2
349,257,4/23/2020,14:41:10,27.8
350,257,4/23/2020,14:41:35,23.4
351,257,4/23/2020,14:42:02,11.2
352,257,4/23/2020,14:42:32,21.5
353,270,4/23/2020,14:34:41,19.9
354,270,4/23/2020,14:35:11,19.8
355,270,4/23/2020,14:35:39,24.7
356,282,4/23/2020,14:18:18,28.3
357,282,4/23/2020,14:18:52,29.8
358,282,4/23/2020,14:19:21,31.4
359,301,4/23/2020,14:25:32,28
360,301,4/23/2020,14:25:59,24.2
361,301,4/23/2020,14:26:28,26.5
362,332,4/23/2020,14:21:39,26.2
363,332,4/23/2020,14:22:09,23.8
364,332,4/23/2020,14:22:41,25.4
365,353,4/23/2020,13:53:30,28
366,353,4/23/2020,13:58:34,25.4
367,353,4/23/2020,13:59:56,29.2
368,371,4/23/2020,14:16:19,27
369,371,4/23/2020,14:16:58,35.5
370,371,4/23/2020,14:17:30,28.7
371,403,4/23/2020,14:01:26,24.2
372,403,4/23/2020,14:01:49,25.2
373,403,4/23/2020,14:02:08,24.9
374,417,4/23/2020,13:35:19,24.6
375,417,4/23/2020,13:35:53,22.3
376,417,4/23/2020,13:37:00,21.8
377,423,4/23/2020,12:35:58,19.5
378,423,4/23/2020,12:36:17,22
379,423,4/23/2020,12:36:17,27.9
380,425,4/23/2020,13:32:19,7.2
381,425,4/23/2020,13:32:55,33.7
382,425,4/23/2020,13:33:31,19.1
383,425,4/23/2020,13:34:10,24.5
384,431,4/23/2020,13:49:02,16.5
385,431,4/23/2020,13:49:28,24.4
386,431,4/23/2020,13:50:02,16.2
387,434,4/23/2020,12:34:12,24.2
388,434,4/23/2020,12:34:40,21.8
389,434,4/23/2020,12:35:11,23.9
390,463,4/23/2020,13:44:14,21.2
391,463,4/23/2020,13:45:05,12.4
392,463,4/23/2020,13:45:35,22.7
393,463,4/23/2020,13:46:18,19.4
394,475,4/23/2020,13:39:35,25
395,475,4/23/2020,13:40:00,21.5
396,475,4/23/2020,13:40:27,15.1
397,475,4/23/2020,13:40:58,22.1
398,493,4/23/2020,12:00:01,7.6
399,493,4/23/2020,12:00:34,20.3
400,493,4/23/2020,12:01:22,13
401,493,4/23/2020,12:02:46,15.8
402,498,4/23/2020,11:58:00,25.4
403,498,4/23/2020,11:58:50,20.8
404,498,4/23/2020,11:58:22,24.2
405,519,4/23/2020,12:28:51,20.3
406,519,4/23/2020,12:29:18,18.6
407,519,4/23/2020,12:29:54,13.6
408,548,4/23/2020,12:25:06,20
409,548,4/23/2020,12:26:03,22.1
410,548,4/23/2020,12:26:55,15.5
411,565,4/23/2020,12:19:58,15.5
412,565,4/23/2020,12:20:28,11
413,565,4/23/2020,12:21:02,16.6
414,595,4/23/2020,11:51:21,19.4
415,595,4/23/2020,11:51:44,18.8
416,595,4/23/2020,11:52:07,27.2
417,614,4/23/2020,11:56:09,22.6
418,614,4/23/2020,11:56:25,21.7
419,614,4/23/2020,11:56:59,25.8
420,624,4/23/2020,12:07:34,26.5
421,624,4/23/2020,12:08:05,25.1
422,624,4/23/2020,12:08:36,16
423,624,4/23/2020,12:09:42,22.4
424,633,4/23/2020,12:04:09,13.6
425,633,4/23/2020,12:05:13,21.7
426,633,4/23/2020,12:05:37,12.6
427,633,4/23/2020,12:06:08,22.1
428,643,4/23/2020,12:15:44,26
429,643,4/23/2020,12:16:10,23.8
430,643,4/23/2020,12:16:30,23.2
431,672,4/23/2020,12:11:38,21
432,672,4/23/2020,12:12:03,32.5
433,672,4/23/2020,12:12:41,14.9
434,672,4/23/2020,12:13:08,22.3
435,702,4/23/2020,11:54:08,19.2
436,702,4/23/2020,11:54:56,14.9
437,702,4/23/2020,11:55:26,20.5
438,726,4/23/2020,11:49:08,18
439,726,4/23/2020,11:49:38,22.9
440,726,4/23/2020,11:50:07,17.8
441,740,4/23/2020,11:39:03,19.7
442,740,4/23/2020,11:43:10,19.2
443,740,4/23/2020,11:43:49,7.9
444,740,4/23/2020,11:44:17,10.2
445,764,4/23/2020,11:45:39,13.2
446,764,4/23/2020,11:46:13,18
447,764,4/23/2020,11:46:45,14.2
448,783,4/23/2020,11:21:38,19.7
449,783,4/23/2020,11:22:01,14.3
450,783,4/23/2020,11:22:29,27.9
451,783,4/23/2020,11:23:01,18.9
452,808,4/23/2020,11:25:57,22.9
453,808,4/23/2020,11:26:23,20.1
454,808,4/23/2020,11:30:22,22.6
455,820,4/23/2020,11:17:42,23.3
456,820,4/23/2020,11:18:16,22
457,820,4/23/2020,11:18:41,19.4
458,839,4/23/2020,11:10:03,12.9
459,839,4/23/2020,11:10:34,9.5
460,839,4/23/2020,11:11:09,11.6
461,845,4/23/2020,11:14:43,20.3
462,845,4/23/2020,11:15:12,23
463,845,4/23/2020,11:15:45,24.5
464,857,4/23/2020,11:32:36,22.2
465,857,4/23/2020,11:32:58,24.4
466,857,4/23/2020,11:33:47,12.5
467,857,4/23/2020,11:34:17,16.4
468,860,4/23/2020,11:12:43,9.3
469,860,4/23/2020,11:13:01,16.7
470,860,4/23/2020,11:13:23,12.3
471,870,4/23/2020,10:54:29,15.7
472,870,4/23/2020,10:54:49,24.1
473,870,4/23/2020,10:55:08,30
474,870,4/23/2020,10:55:36,20.2
475,875,4/23/2020,10:45:11,15.4
476,875,4/23/2020,10:47:29,8.8
477,875,4/23/2020,10:48:07,23
478,875,4/23/2020,10:49:33,18.3
479,878,4/23/2020,11:00:48,25.6
480,878,4/23/2020,11:01:07,24.9
481,878,4/23/2020,11:01:56,17.3
482,883,4/23/2020,10:50:13,26.6
483,883,4/23/2020,10:50:34,30.7
484,883,4/23/2020,10:51:37,31.3
485,905,4/23/2020,11:05:05,10.1
486,905,4/23/2020,11:05:32,15.9
487,905,4/23/2020,11:05:54,16.5
488,918,4/23/2020,10:57:39,27.9
489,918,4/23/2020,10:57:56,23.9
490,918,4/23/2020,10:58:35,27
491,954,4/23/2020,10:41:29,24.2
492,954,4/23/2020,10:42:11,19.7
493,954,4/23/2020,10:42:35,25.8
494,971,4/23/2020,10:32:15,13.2
495,971,4/23/2020,10:33:44,16.6
496,971,4/23/2020,10:34:29,10
497,979,4/23/2020,10:39:15,11.5
498,979,4/23/2020,10:39:38,13
499,979,4/23/2020,10:39:58,5.9
500,990,4/23/2020,10:35:44,10.9
501,990,4/23/2020,10:36:11,15.6
502,990,4/23/2020,10:37:37,21.2
503,990,4/23/2020,10:38:06,21.2
504,1015,4/24/2020,12:54:13,32.3
505,1015,4/24/2020,12:54:36,34
506,1015,4/24/2020,12:55:00,21
507,1015,4/24/2020,12:55:44,30.8
508,1026,4/24/2020,12:51:39,31.7
509,1026,4/24/2020,12:52:27,35.8
510,1026,4/24/2020,12:52:53,28.1
511,1033,4/24/2020,10:23:36,28.7
512,1033,4/24/2020,10:24:21,25.1
513,1033,4/24/2020,10:24:56,36.2
514,1033,4/24/2020,10:25:35,25
515,1040,4/24/2020,10:21:03,29.8
516,1040,4/24/2020,10:21:30,35.4
517,1040,4/24/2020,10:22:02,30.8
518,1064,4/24/2020,10:30:17,23.4
519,1064,4/24/2020,10:30:56,32.7
520,1064,4/24/2020,10:31:51,23
521,1064,4/24/2020,10:32:25,29.6
522,1087,4/24/2020,10:41:38,25.1
523,1087,4/24/2020,10:40:54,32.7
524,1087,4/24/2020,10:42:02,17.6
525,1087,4/24/2020,10:42:38,30.1
526,1096,4/24/2020,10:34:12,29
527,1096,4/24/2020,10:34:40,27.4
528,1096,4/24/2020,10:35:55,23.4
529,1110,4/24/2020,12:59:34,29.9
530,1110,4/24/2020,12:59:56,29.1
531,1110,4/24/2020,13:00:23,28
532,1113,4/24/2020,13:02:19,34.7
533,1113,4/24/2020,13:02:46,28.3
534,1113,4/24/2020,13:03:15,26.5
535,1124,4/24/2020,11:57:35,25.5
536,1124,4/24/2020,11:58:19,34.2
537,1124,4/24/2020,11:59:04,29.1
538,1130,4/24/2020,12:04:32,36.3
539,1130,4/24/2020,12:05:20,35.1
540,1130,4/24/2020,12:05:49,25.1
541,1130,4/24/2020,12:06:24,31.5
542,1131,4/24/2020,12:02:22,37.9
543,1131,4/24/2020,12:03:01,29.5
544,1131,4/24/2020,12:03:27,37.5
545,1132,4/24/2020,12:07:39,39.1
546,1132,4/24/2020,12:08:10,34.3
547,1132,4/24/2020,12:08:42,29.6
548,1140,4/24/2020,11:21:40,14.6
549,1140,4/24/2020,11:22:08,22.7
550,1140,4/24/2020,11:22:41,26.1
551,1140,4/24/2020,11:23:10,28.5
552,1155,4/24/2020,11:25:10,19.4
553,1155,4/24/2020,11:25:52,22.3
554,1155,4/24/2020,11:26:22,22.9
555,1161,4/24/2020,13:21:55,19.1
556,1161,4/24/2020,13:22:18,27.2
557,1161,4/24/2020,13:22:45,24.3
558,1164,4/24/2020,11:18:54,24.7
559,1164,4/24/2020,11:19:27,24.6
560,1164,4/24/2020,11:19:52,27.5
561,1167,4/24/2020,11:29:46,26.4
562,1167,4/24/2020,11:30:39,17.7
563,1167,4/24/2020,11:30:39,17.4
564,1177,4/24/2020,11:14:02,20.8
565,1177,4/24/2020,11:14:52,14.7
566,1177,4/24/2020,11:15:58,26.4
567,1177,4/24/2020,11:16:25,22.1
568,1182,4/24/2020,10:56:14,29.3
569,1182,4/24/2020,10:57:02,21.8
570,1182,4/24/2020,10:57:34,31.7
571,1188,4/24/2020,13:24:18,26.8
572,1188,4/24/2020,13:24:46,29.5
573,1188,4/24/2020,13:25:11,23.6
574,1190,4/24/2020,11:09:32,23.6
575,1190,4/24/2020,11:10:58,21.6
576,1190,4/24/2020,11:11:27,21.7
577,1195,4/24/2020,11:06:39,23.8
578,1195,4/24/2020,11:07:06,22.6
579,1195,4/24/2020,11:07:48,24.5
580,1219,4/24/2020,13:44:00,18
581,1219,4/24/2020,13:44:52,23.2
582,1219,4/24/2020,13:45:37,13.8
583,1232,4/24/2020,11:01:35,15.6
584,1232,4/24/2020,11:01:01,24.3
585,1232,4/24/2020,11:02:01,24.7
586,1234,4/24/2020,10:37:31,18
587,1234,4/24/2020,10:38:01,20.8
588,1234,4/24/2020,10:38:59,25.6
589,1242,4/24/2020,10:44:57,31.9
590,1242,4/24/2020,10:46:21,32.2
591,1242,4/24/2020,10:45:36,29.9
592,1257,4/24/2020,10:17:56,23.7
593,1257,4/24/2020,10:18:44,21.6
594,1257,4/24/2020,10:19:09,24.4
595,1265,4/24/2020,12:57:04,21.7
596,1265,4/24/2020,12:57:34,20.6
597,1265,4/24/2020,12:58:18,26
598,1280,4/23/2020,14:04:18,24.3
599,1280,4/23/2020,14:04:53,18.4
600,1280,4/23/2020,14:05:26,24.3
601,1297,4/23/2020,14:07:17,25.5
602,1297,4/23/2020,14:07:40,25.5
603,1297,4/23/2020,14:08:45,19.1
604,1309,4/24/2020,13:08:44,22.3
605,1309,4/24/2020,13:09:09,32.7
606,1309,4/24/2020,13:09:47,23.9
607,1309,4/24/2020,13:10:25,25.5
608,1313,4/24/2020,13:06:09,31.7
609,1313,4/24/2020,13:06:38,23
610,1313,4/24/2020,13:07:13,30
611,1327,4/24/2020,11:46:03,27
612,1327,4/24/2020,11:47:01,33.6
613,1327,4/24/2020,11:48:11,34.7
614,1346,4/24/2020,11:50:18,34.2
615,1346,4/24/2020,11:50:51,28.7
616,1346,4/24/2020,11:51:24,32.8
617,1349,4/24/2020,11:38:49,29.3
618,1349,4/24/2020,11:39:44,24.8
619,1349,4/24/2020,11:40:09,20.5
620,1353,4/24/2020,13:15:19,16.1
621,1353,4/24/2020,13:15:38,29.7
622,1353,4/24/2020,13:16:10,22.7
623,1353,4/24/2020,13:16:37,21.5
624,1356,4/24/2020,11:33:46,26.2
625,1356,4/24/2020,11:34:44,25
626,1356,4/24/2020,11:35:13,22.2
627,1367,4/24/2020,13:27:51,23.6
628,1367,4/24/2020,13:28:44,17.9
629,1367,4/24/2020,13:29:06,26.9
630,1385,4/24/2020,10:48:36,14.3
631,1385,4/24/2020,10:49:09,24.1
632,1385,4/24/2020,10:49:38,20.1
633,1388,4/24/2020,10:52:03,39
634,1388,4/24/2020,10:53:04,35.4
635,1388,4/24/2020,10:53:04,31.4
636,1390,4/23/2020,14:37:19,21.4
637,1390,4/23/2020,14:37:56,21.6
638,1390,4/23/2020,14:38:28,22.8
639,1413,4/24/2020,13:31:03,22.5
640,1413,4/24/2020,13:31:25,21.8
641,1413,4/24/2020,13:31:53,25.6
642,1415,4/24/2020,13:53:45,22.7
643,1415,4/24/2020,13:56:43,14.9
644,1415,4/24/2020,13:57:04,19.2
645,1546,4/23/2020,12:31:19,26.6
646,1546,4/23/2020,12:31:51,25.3
647,1546,4/23/2020,12:32:16,20.6
648,1647,4/24/2020,12:00:16,33
649,1647,4/24/2020,12:00:41,32.9
650,1647,4/24/2020,12:01:17,38.3
