date,plot,m1,m2,m3,m4,average,alive (yes or no),notes
5/21,4,9.1,9.3,9.5,,9.3,y,
,13,7.3,8.8,8.7,,8.266666667,y,
,34,9.8,8.3,8,,8.7,y,
,37,13.6,10.3,9.7,,11.2,y,didn't save m2
,92,8.1,10.3,9,,9.133333333,y,
,97,10.7,9.6,8.5,,9.6,y,
,119,12.9,10.4,8.2,,10.5,np,
,133,13.1,6.8,11.6,8.7,10.05,y,
,134,7,7.5,7.4,,7.3,y,
,138,12.5,11.2,9.8,,11.16666667,n,
,153,7.9,9.9,9.1,,8.966666667,n,
,155,8.6,9.1,8.7,,8.8,y,
,157,7.2,9.5,9.5,,8.733333333,np,
,166,9.9,8.5,10.9,,9.766666667,y,
,190,6.5,6.6,12.1,7,8.05,y,
,203,6.1,6.3,6.5,,6.3,y,didn't save any
,205,7.5,11.2,8.7,,9.133333333,y,
,223,13.7,9.3,13.1,,12.03333333,n,
,226,9.7,8.9,10.3,,9.633333333,y,
,241,9,11.2,14.1,11.5,11.45,y,
,244,10.1,10.4,10.3,,10.26666667,y,
,253,13.6,8.9,11.2,,11.23333333,np,
,257,9.6,8.7,7.7,,8.666666667,y,
,270,10.4,7.8,7.8,,8.666666667,y,
,282,12.2,8.2,10.1,,10.16666667,y,
,301,8.5,9.9,7.1,,8.5,y,
,332,14,10.2,9.8,,11.33333333,y,
,353,9.7,10.8,11.2,,10.56666667,y,
,371,8.6,12.1,10.6,,10.43333333,y,
,403,7.3,8.3,10.5,,8.7,y,
,417,10.1,10.2,11.1,,10.46666667,y,
,423,7.1,9.4,7,,7.833333333,y,
,425,11.2,10.8,12.4,,11.46666667,y,
,431,7.2,9.1,10.4,,8.9,y,
,434,7.8,6.8,10.7,9.3,8.65,np,
,463,6.9,9.5,9.6,,8.666666667,y,
,475,7.5,10,8.4,,8.633333333,y,
,493,7.3,8.1,6,,7.133333333,y,
,498,7.2,8.1,8,,7.766666667,y,
,519,9.2,8.7,7.1,,8.333333333,y,
,548,9.3,7.5,8.8,,8.533333333,y,
,565,8.8,9.3,8.5,,8.866666667,y,
,595,9.5,8.7,9.9,,9.366666667,np,
,614,8.1,7.3,11.9,8,8.825,np,
,624,10.6,9.9,11.2,,10.56666667,y,
,633,8,9.6,7.6,,8.4,y,
,643,10.4,7.7,7.4,,8.5,n,
,672,7.1,9.1,7.5,,7.9,y,
,702,6.6,11,6.5,9.8,8.475,y,
,726,7.5,8.6,7.4,,7.833333333,y,
,740,7,5.9,7.2,,6.7,y,
,764,8.2,8.2,9.6,,8.666666667,y,
,783,10.2,7.9,11.2,,9.766666667,n,
,808,7.5,6.9,7,,7.133333333,np,
,820,7.3,7.7,7.6,,7.533333333,y,
,839,7.6,7.4,6.4,,7.133333333,n,
,845,7.3,9.3,7.4,,8,np,
,857,8.2,7.5,6.5,,7.4,y,
,860,7.7,6.8,6.9,,7.133333333,y,
,870,9,8.8,10.4,,9.4,y,
,875,10,8.6,8.5,,9.033333333,y,
,878,8.2,6.5,8.6,,7.766666667,n,
,883,7,7.9,9.5,,8.133333333,y,
,905,9,13.2,6.8,9.9,9.725,y,
,918,9.1,9.1,9.4,,9.2,y,
,954,7.6,8.5,7,,7.7,y,
,971,7.8,7.5,8.1,,7.8,y,
,979,6.5,6.5,8.3,,7.1,y,
,990,7.5,6.7,7.3,,7.166666667,y,didn't save m1 and m2
,1015,11.7,14.3,13.8,,13.26666667,y,
,1026,14,10.8,12.8,,12.53333333,y,
,1033,14,11.5,11.2,,12.23333333,y,
,1040,14.9,13.9,12,,13.6,y,
,1064,8.6,10.8,9.9,,9.766666667,y,
,1087,10.6,14,8.7,11.8,11.275,np,
,1096,9.4,10.3,11.6,,10.43333333,y,
,1110,8.8,11.2,8.8,,9.6,y,
,1113,10.7,14.1,11.3,,12.03333333,y,
,1124,13.5,14.3,13.9,,13.9,y,
,1130,13.6,9,12.6,,11.73333333,y,
,1131,13.4,13.5,12,,12.96666667,np,
,1132,12.8,10.4,8.6,,10.6,y,didn't save m2
,1140,9.6,6.9,6.6,,7.7,y,
,1155,9.6,7.1,7.8,,8.166666667,y,
,1161,7.3,7,6.4,,6.9,np,
,1164,9.4,10.4,9.1,,9.633333333,np,
,1167,7.5,6.9,9.6,,8,y,
,1177,8.7,8.8,8.4,,8.633333333,y,
,1182,9.3,9.4,13.6,,10.76666667,y,
,1188,8.4,11.2,10.4,,10,y,
,1190,7.4,6.8,7.8,,7.333333333,y,
,1195,7.9,7.9,10.1,,8.633333333,y,
,1219,8.5,10.3,8.1,,8.966666667,y,
,1232,9.5,11,7.9,,9.466666667,y,
,1234,9.4,7.4,9,,8.6,y,
,1242,10.9,11.5,8.9,,10.43333333,y,
,1257,11.6,7.5,12.9,,10.66666667,y,
,1265,9.7,10.7,9.5,,9.966666667,y,
,1280,9.5,10.1,10.5,,10.03333333,y,
,1297,12.9,11.6,9.6,,11.36666667,y,
,1309,8.1,7.2,10.8,,8.7,np,saved as 1313
,1313,11.6,14.2,14.1,,13.3,y,
,1327,13.4,11.1,10.2,,11.56666667,y,
,1346,12.5,10.8,9.8,,11.03333333,y,
,1349,9.2,11.1,11.3,,10.53333333,y,
,1353,14.9,8.9,14.2,,12.66666667,y,
,1356,11.6,8.2,7,,8.933333333,y,saved as 1159
,1367,9.2,8.5,12.6,,10.1,y,
,1385,8.3,9.2,6.9,,8.133333333,np,
,1388,11.9,9.6,14,,11.83333333,n,
,1390,7.1,7.6,6.9,,7.2,y,
,1413,8.4,7.7,8.2,,8.1,y,
,1415,8.2,8.9,7.6,,8.233333333,np,
,1546,10.1,9.1,7,,8.733333333,y,
,1598,8.2,9.7,8.7,,8.866666667,n,
,1647,13.8,12.1,14.1,,13.33333333,y,